trimestre,taxa_desemprego,data,ano,variacao
nov-dez-jan 2019,12.2,2019-11-01,2019,1.0999999999999996
dez-jan-fev 2019,12.5,2019-12-01,2019,0.3000000000000007
jan-fev-mar 2020,12.4,2020-01-01,2020,-0.09999999999999964
fev-mar-abr 2020,12.7,2020-02-01,2020,0.29999999999999893
mar-abr-mai 2020,13.1,2020-03-01,2020,0.40000000000000036
abr-mai-jun 2020,13.6,2020-04-01,2020,0.5
mai-jun-jul 2020,14.1,2020-05-01,2020,0.5
jun-jul-ago 2020,14.8,2020-06-01,2020,0.7000000000000011
jul-ago-set 2020,14.9,2020-07-01,2020,0.09999999999999964
ago-set-out 2020,14.6,2020-08-01,2020,-0.3000000000000007
set-out-nov 2020,14.3,2020-09-01,2020,-0.29999999999999893
out-nov-dez 2020,14.2,2020-10-01,2020,-0.10000000000000142
nov-dez-jan 2020,11.3,2020-11-01,2020,-2.8999999999999986
dez-jan-fev 2020,11.7,2020-12-01,2020,0.3999999999999986
jan-fev-mar 2021,14.9,2021-01-01,2021,3.200000000000001
fev-mar-abr 2021,14.8,2021-02-01,2021,-0.09999999999999964
mar-abr-mai 2021,14.7,2021-03-01,2021,-0.10000000000000142
abr-mai-jun 2021,14.2,2021-04-01,2021,-0.5
mai-jun-jul 2021,13.7,2021-05-01,2021,-0.5
jun-jul-ago 2021,13.2,2021-06-01,2021,-0.5
jul-ago-set 2021,12.7,2021-07-01,2021,-0.5
ago-set-out 2021,12.1,2021-08-01,2021,-0.5999999999999996
set-out-nov 2021,11.6,2021-09-01,2021,-0.5
out-nov-dez 2021,11.1,2021-10-01,2021,-0.5
nov-dez-jan 2021,14.4,2021-11-01,2021,3.3000000000000007
dez-jan-fev 2021,14.6,2021-12-01,2021,0.1999999999999993
jan-fev-mar 2022,11.1,2022-01-01,2022,-3.5
fev-mar-abr 2022,10.5,2022-02-01,2022,-0.5999999999999996
mar-abr-mai 2022,9.8,2022-03-01,2022,-0.6999999999999993
abr-mai-jun 2022,9.3,2022-04-01,2022,-0.5
mai-jun-jul 2022,9.1,2022-05-01,2022,-0.20000000000000107
jun-jul-ago 2022,8.9,2022-06-01,2022,-0.1999999999999993
jul-ago-set 2022,8.7,2022-07-01,2022,-0.20000000000000107
ago-set-out 2022,8.3,2022-08-01,2022,-0.3999999999999986
set-out-nov 2022,8.1,2022-09-01,2022,-0.20000000000000107
out-nov-dez 2022,7.9,2022-10-01,2022,-0.1999999999999993
nov-dez-jan 2022,11.2,2022-11-01,2022,3.299999999999999
dez-jan-fev 2022,11.2,2022-12-01,2022,0.0
jan-fev-mar 2023,8.8,2023-01-01,2023,-2.3999999999999986
fev-mar-abr 2023,8.5,2023-02-01,2023,-0.3000000000000007
